node_id	node_name	node_type	node_community
0	news_ClarkRockefeller	news	news_real
1	news_Cristiano	news	news_real
2	news_E104	news	news_fake
3	news_E105	news	news_fake
4	news_E106	news	news_real
5	news_E107	news	news_real
6	news_E108	news	news_real
7	news_E110	news	news_fake
8	news_E113	news	news_fake
9	news_E114	news	news_fake
10	news_E115	news	news_real
11	news_E116	news	news_fake
12	news_E117	news	news_real
13	news_E118	news	news_fake
14	news_E121	news	news_real
15	news_E123	news	news_fake
16	news_E124	news	news_real
17	news_E125	news	news_fake
18	news_E127	news	news_real
19	news_E130	news	news_real
20	news_E131	news	news_fake
21	news_E132	news	news_fake
22	news_E133	news	news_real
23	news_E140	news	news_fake
24	news_E141	news	news_real
25	news_E143	news	news_real
26	news_E144	news	news_fake
27	news_E147	news	news_real
28	news_E148	news	news_fake
29	news_E149	news	news_real
30	news_E150	news	news_real
31	news_E151	news	news_fake
32	news_E152	news	news_fake
33	news_E154	news	news_real
34	news_E155	news	news_real
35	news_E156	news	news_real
36	news_E157	news	news_real
37	news_E158	news	news_real
38	news_E160	news	news_fake
39	news_E161	news	news_fake
40	news_E162	news	news_fake
41	news_E163	news	news_real
42	news_E165	news	news_fake
43	news_E166	news	news_fake
44	news_E167	news	news_real
45	news_E171	news	news_fake
46	news_E173	news	news_real
47	news_E175	news	news_fake
48	news_E176	news	news_real
49	news_E177	news	news_real
50	news_E178	news	news_real
51	news_E180	news	news_real
52	news_E181	news	news_real
53	news_E183	news	news_real
54	news_E184	news	news_fake
55	news_E185	news	news_fake
56	news_E188	news	news_real
57	news_E189	news	news_fake
58	news_E19	news	news_fake
59	news_E190	news	news_fake
60	news_E191	news	news_real
61	news_E192	news	news_fake
62	news_E193	news	news_fake
63	news_E194	news	news_real
64	news_E196	news	news_fake
65	news_E198	news	news_real
66	news_E199	news	news_real
67	news_E20	news	news_fake
68	news_E200	news	news_fake
69	news_E201	news	news_real
70	news_E202	news	news_fake
71	news_E203	news	news_fake
72	news_E204	news	news_fake
73	news_E206	news	news_fake
74	news_E210	news	news_fake
75	news_E212	news	news_fake
76	news_E214	news	news_real
77	news_E215	news	news_real
78	news_E217	news	news_real
79	news_E218	news	news_fake
80	news_E219	news	news_real
81	news_E222	news	news_fake
82	news_E223	news	news_real
83	news_E231	news	news_real
84	news_E232	news	news_real
85	news_E233	news	news_real
86	news_E234	news	news_fake
87	news_E235	news	news_real
88	news_E237	news	news_real
89	news_E239	news	news_real
90	news_E24	news	news_real
91	news_E241	news	news_fake
92	news_E242	news	news_real
93	news_E243	news	news_fake
94	news_E244	news	news_real
95	news_E246	news	news_real
96	news_E249	news	news_fake
97	news_E251	news	news_fake
98	news_E253	news	news_fake
99	news_E255	news	news_fake
100	news_E259	news	news_fake
101	news_E26	news	news_real
102	news_E262	news	news_fake
103	news_E263	news	news_fake
104	news_E269	news	news_fake
105	news_E27	news	news_fake
106	news_E270	news	news_real
107	news_E271	news	news_fake
108	news_E273	news	news_fake
109	news_E276	news	news_fake
110	news_E277	news	news_fake
111	news_E278	news	news_fake
112	news_E28	news	news_real
113	news_E281	news	news_real
114	news_E283	news	news_fake
115	news_E284	news	news_fake
116	news_E285	news	news_fake
117	news_E286	news	news_fake
118	news_E287	news	news_real
119	news_E29	news	news_fake
120	news_E291	news	news_fake
121	news_E293	news	news_fake
122	news_E30	news	news_real
123	news_E300	news	news_fake
124	news_E301	news	news_fake
125	news_E303	news	news_real
126	news_E305	news	news_fake
127	news_E307	news	news_fake
128	news_E31	news	news_real
129	news_E312	news	news_real
130	news_E316	news	news_real
131	news_E318	news	news_real
132	news_E319	news	news_fake
133	news_E32	news	news_real
134	news_E321	news	news_fake
135	news_E322	news	news_real
136	news_E323	news	news_fake
137	news_E324	news	news_fake
138	news_E326	news	news_fake
139	news_E328	news	news_fake
140	news_E329	news	news_fake
141	news_E33	news	news_fake
142	news_E331	news	news_fake
143	news_E336	news	news_fake
144	news_E337	news	news_fake
145	news_E338	news	news_fake
146	news_E339	news	news_fake
147	news_E34	news	news_real
148	news_E340	news	news_real
149	news_E343	news	news_real
150	news_E350	news	news_fake
151	news_E351	news	news_fake
152	news_E352	news	news_real
153	news_E355	news	news_fake
154	news_E356	news	news_fake
155	news_E357	news	news_real
156	news_E358	news	news_fake
157	news_E359	news	news_fake
158	news_E360	news	news_fake
159	news_E362	news	news_real
160	news_E363	news	news_real
161	news_E364	news	news_real
162	news_E367	news	news_fake
163	news_E368	news	news_real
164	news_E370	news	news_real
165	news_E372	news	news_real
166	news_E373	news	news_real
167	news_E374	news	news_real
168	news_E376	news	news_fake
169	news_E377	news	news_real
170	news_E378	news	news_real
171	news_E380	news	news_fake
172	news_E382	news	news_real
173	news_E383	news	news_fake
174	news_E384	news	news_fake
175	news_E385	news	news_fake
176	news_E387	news	news_fake
177	news_E388	news	news_fake
178	news_E389	news	news_fake
179	news_E39	news	news_real
180	news_E391	news	news_real
181	news_E392	news	news_fake
182	news_E393	news	news_real
183	news_E395	news	news_fake
184	news_E397	news	news_real
185	news_E398	news	news_real
186	news_E40	news	news_real
187	news_E401	news	news_fake
188	news_E402	news	news_fake
189	news_E403	news	news_real
190	news_E404	news	news_fake
191	news_E405	news	news_real
192	news_E41	news	news_fake
193	news_E410	news	news_fake
194	news_E411	news	news_real
195	news_E412	news	news_fake
196	news_E413	news	news_fake
197	news_E414	news	news_real
198	news_E416	news	news_real
199	news_E418	news	news_fake
200	news_E42	news	news_real
201	news_E420	news	news_fake
202	news_E421	news	news_real
203	news_E423	news	news_fake
204	news_E424	news	news_fake
205	news_E425	news	news_fake
206	news_E428	news	news_real
207	news_E429	news	news_fake
208	news_E43	news	news_real
209	news_E431	news	news_fake
210	news_E432	news	news_fake
211	news_E433	news	news_fake
212	news_E434	news	news_real
213	news_E435	news	news_fake
214	news_E437	news	news_real
215	news_E444	news	news_fake
216	news_E445	news	news_fake
217	news_E446	news	news_fake
218	news_E449	news	news_real
219	news_E45	news	news_fake
220	news_E451	news	news_real
221	news_E452	news	news_real
222	news_E453	news	news_fake
223	news_E454	news	news_fake
224	news_E455	news	news_fake
225	news_E456	news	news_fake
226	news_E457	news	news_real
227	news_E458	news	news_real
228	news_E460	news	news_real
229	news_E461	news	news_fake
230	news_E462	news	news_fake
231	news_E464	news	news_fake
232	news_E465	news	news_fake
233	news_E47	news	news_fake
234	news_E471	news	news_real
235	news_E472	news	news_real
236	news_E473	news	news_fake
237	news_E475	news	news_fake
238	news_E477	news	news_real
239	news_E478	news	news_fake
240	news_E48	news	news_real
241	news_E480	news	news_fake
242	news_E482	news	news_real
243	news_E484	news	news_fake
244	news_E485	news	news_real
245	news_E486	news	news_real
246	news_E488	news	news_fake
247	news_E489	news	news_fake
248	news_E49	news	news_fake
249	news_E490	news	news_fake
250	news_E491	news	news_fake
251	news_E493	news	news_real
252	news_E494	news	news_fake
253	news_E495	news	news_real
254	news_E496	news	news_fake
255	news_E497	news	news_fake
256	news_E50	news	news_fake
257	news_E500	news	news_fake
258	news_E501	news	news_fake
259	news_E502	news	news_fake
260	news_E505	news	news_fake
261	news_E506	news	news_fake
262	news_E507	news	news_fake
263	news_E508	news	news_real
264	news_E51	news	news_fake
265	news_E512	news	news_real
266	news_E513	news	news_real
267	news_E514	news	news_real
268	news_E516	news	news_real
269	news_E517	news	news_real
270	news_E518	news	news_real
271	news_E52	news	news_real
272	news_E523	news	news_real
273	news_E524	news	news_real
274	news_E525	news	news_fake
275	news_E528	news	news_fake
276	news_E529	news	news_fake
277	news_E530	news	news_fake
278	news_E532	news	news_fake
279	news_E533	news	news_real
280	news_E534	news	news_fake
281	news_E535	news	news_fake
282	news_E536	news	news_real
283	news_E539	news	news_real
284	news_E54	news	news_real
285	news_E540	news	news_fake
286	news_E542	news	news_fake
287	news_E543	news	news_fake
288	news_E544	news	news_fake
289	news_E545	news	news_real
290	news_E546	news	news_fake
291	news_E547	news	news_real
292	news_E548	news	news_real
293	news_E55	news	news_fake
294	news_E552	news	news_fake
295	news_E554	news	news_fake
296	news_E555	news	news_fake
297	news_E556	news	news_fake
298	news_E559	news	news_real
299	news_E561	news	news_fake
300	news_E562	news	news_fake
301	news_E564	news	news_fake
302	news_E567	news	news_fake
303	news_E568	news	news_fake
304	news_E569	news	news_fake
305	news_E57	news	news_fake
306	news_E570	news	news_real
307	news_E572	news	news_real
308	news_E574	news	news_fake
309	news_E576	news	news_fake
310	news_E578	news	news_fake
311	news_E579	news	news_real
312	news_E581	news	news_fake
313	news_E582	news	news_fake
314	news_E583	news	news_fake
315	news_E584	news	news_fake
316	news_E587	news	news_fake
317	news_E589	news	news_real
318	news_E59	news	news_real
319	news_E590	news	news_real
320	news_E591	news	news_real
321	news_E592	news	news_fake
322	news_E594	news	news_fake
323	news_E595	news	news_fake
324	news_E596	news	news_real
325	news_E599	news	news_fake
326	news_E60	news	news_fake
327	news_E600	news	news_real
328	news_E602	news	news_real
329	news_E605	news	news_real
330	news_E606	news	news_fake
331	news_E608	news	news_fake
332	news_E609	news	news_fake
333	news_E61	news	news_fake
334	news_E610	news	news_fake
335	news_E611	news	news_fake
336	news_E612	news	news_real
337	news_E613	news	news_real
338	news_E615	news	news_fake
339	news_E618	news	news_fake
340	news_E620	news	news_fake
341	news_E621	news	news_fake
342	news_E627	news	news_real
343	news_E63	news	news_real
344	news_E630	news	news_fake
345	news_E631	news	news_fake
346	news_E632	news	news_real
347	news_E634	news	news_fake
348	news_E636	news	news_fake
349	news_E639	news	news_fake
350	news_E64	news	news_fake
351	news_E640	news	news_real
352	news_E642	news	news_fake
353	news_E644	news	news_real
354	news_E645	news	news_real
355	news_E646	news	news_real
356	news_E647	news	news_fake
357	news_E648	news	news_real
358	news_E649	news	news_real
359	news_E65	news	news_real
360	news_E650	news	news_fake
361	news_E652	news	news_fake
362	news_E653	news	news_fake
363	news_E654	news	news_fake
364	news_E656	news	news_fake
365	news_E659	news	news_fake
366	news_E660	news	news_fake
367	news_E662	news	news_real
368	news_E663	news	news_fake
369	news_E664	news	news_real
370	news_E665	news	news_real
371	news_E666	news	news_real
372	news_E667	news	news_fake
373	news_E669	news	news_fake
374	news_E67	news	news_fake
375	news_E670	news	news_real
376	news_E671	news	news_real
377	news_E672	news	news_real
378	news_E673	news	news_real
379	news_E674	news	news_real
380	news_E676	news	news_fake
381	news_E677	news	news_real
382	news_E678	news	news_fake
383	news_E679	news	news_fake
384	news_E681	news	news_real
